Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0x1e593f1fe7b61c53874b54ec0c59fd0d5eb8621e,63120.18926926379,63120.18926926379,0,0,63229.63977571556,,
0xf2917972e9c7d2474ad566e9b98844732fd6a710,62346.890394999995,62346.890394999995,0,0,62455,,
0x1bc5b032f9a2377ea2e1dd308a43413663050c5d,61188.5560913538,61188.5560913538,0,0,61294.657142868105,,
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,61073.63575205402,4804.816788176434,48829.81383081907,7439.00513305852,4813.148347966765,43968.2449830439,35641.67554845294
0xaaa6d28f04c9efdb39f77497cefeaf0b36cd9217,60278.42679489943,60278.42679489943,0,0,60382.94968079689,,
0xda2069f47d252121c2288301d6ef50b87220a693,59601.313874299194,59601.313874299194,0,0,59704.66264533828,,
0xc9d09ba972b4eb6bb7347f2229fb6d50434ffca6,59197.3517,59197.3517,0,0,59300,,
0x29b22526e641cd489375288c62a59093ba4e8963,58129.677493343384,58129.677493343384,0,0,58230.474444607,,
0x843809614e958ac8a4bc18b3d9d9a46468b51eef,55813.65261916323,32463.517978484168,23350.134640679058,0,32519.809769194646,21025.36052718789,
0x5776b4893faca32a9224f18950406c9599f3b013,54893.99075298844,49341.58498098844,5552.405772000001,0,49427.14336615526,4999.6,
0x9be5da31c7a42d7e045189ac1822d1fa5838e635,54453.43536089384,54453.43536089384,0,0,54547.85770257701,,
0xea3fb6e3313a2a90757e4ca3d6749efd0107b0b6,53861.92131185082,53861.92131185082,0,0,53955.31796725214,,
0xe81ef36fcb902b5784994bf301ad6b47749c3892,51187.27938740604,394.3318910373079,50703.40002081212,89.54747555661285,395.015663150221,45655.29414698049,429.03883152176184
