Address,Average Total stCELO,Average Total stCELO in USD,Contract
0x9fd89e525e5011eab27fe9ed1c3a20211a0cdf2c,103.42362297704413,56.35051036872014,""
0xc4f7291c8759ce2c2a57ce2fc5ddadf9732ce61e,102.35065864859791,57.922685615827575,""
0x819e90ea77324d89e10f973225c85782853a7f49,99.48550772389693,57.24799030739308,""
0x420eb07d9894566a68841e13968b54eddbd74d1c,99.09900922883023,57.02558342014267,""
0xdcd52c20904d32635fd543cb061efb1f1b9938e6,99.06500809913761,57.98421132437217,""
0x508c60824e480343b3925b1c8ad8b4e237773531,98.75451716942469,56.82734873723234,""
0x6813baab234a64d2bb461b344cd5d769bca64a69,98.64136592550273,57.68629862298417,""
0x27a0388da4efe824f2c146f40381865393e11a33,98.57767067826468,56.725584103935965,""
0xf5f9517a4913629b4a65a155de797402a6695809,97.99399802007612,56.397370587072814,""
0xb9c52290ee78bc1cba1b80e5f662038b471f249b,97.14362824605945,68.62429900920955,""
0xa5ceafa5ec0737302b2660f44981956b087a2ca4,97.1413413785233,58.67242306454962,""
0xba92007014935a3fd443771329a00a9051187edc,97.08833238556014,53.67790594433133,""
0x7d6a63d9ca9df5c227b74bd80770ecb04b77a6e3,94.95452667630889,55.38890978110807,""
0x01a94f469706282e1e2206e3b043c446fa0fb5d4,93.38919750252984,62.47912884610551,""
0x29a6520a99656e5b17a34471d5d458efd3696695,92.83841204611991,56.689900980039795,""
0x98c1265c08c81bee4a59e63e474c7e083ec74e15,92.6633360038337,65.45932648316422,""
0xfbd189d2576e7a5b509a3ce1239bb5b519c27435,92.58306947866788,51.771705974668244,""
0x59512b1910240339c0b5c4577b4c7f75a5b2e597,89.54053741837674,49.26679750915693,""
0x2019a6e7aa880bdbb76e66b17b44c4796e993f7d,88.32553488169611,67.57561443684621,""
0xc4e599ba73c02a4cbc06493fe09fdc00be725783,86.99814109783004,47.70542445684217,""
0x58b6a61310f81cc93b099d2498010afc6fbd7a21,86.71336947275258,50.34989786580051,""
